Codigo,Direccion,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
7659,"Recreo 250, Estación Central",-33.45725,-70.69589,n/a,2280,0,37.08,65.87,venta,departamento
7448,"Av. Fermín Vivaceta 3750, Conchalí",-33.39476,-70.67605,n/a,1560,0,25.13,72.25,venta,departamento
8604,"Calle Yungay 2570, Santiago",-33.4295,-70.67289,n/a,1691,2940,29,68,venta,departamento
8971,"Las Enredaderas 2154, Independencia",-33.40626,-70.66888,n/a,1669,3293,32.07,67.78,venta,departamento
9002,"Carlos Silva Vildosola 870, San Miguel",-33.47773,-70.64445,n/a,2002,3607,38.75,74.01,venta,departamento
6711,"Rivera 1.640, Independencia",-33.42623,-70.65789,n/a,2070,2340,33.47,34.91,venta,departamento
8047,"María Rozas Velásquez 45, Estación Central",-33.45444,-70.70573,n/a,1665,2755,28.5,54.25,venta,departamento
7017,"Bartolo Soto 4033, San Miguel",-33.49068,-70.65384,n/a,3405,3600,56.41,61.73,venta,departamento
8270,"Calle Barcelona 160, La Florida",-33.51518,-70.60539,n/a,2117,0,36.42,59.88,venta,departamento
7223,"Berlín 927, San Miguel",-33.49382,-70.64931,n/a,2300,2875,38.42,58.23,venta,departamento
8177,"José Domingo Cañas 2640, Ñuñoa",-33.45692,-70.60426,n/a,3652,0,40.97,66.27,venta,departamento
6340,"Argomedo 321, Santiago",-33.44958,-70.63487,n/a,3181,3653,50.02,58.78,venta,departamento
7381,"Alberto Undurraga 1567, Huechuraba",-33.35682,-70.67491,n/a,3500,4450,71.1,95.7,venta,departamento
8675,"Curiñanca 830, San Miguel",-33.49003,-70.6451,n/a,2822,4633,41.75,89.05,venta,departamento
8030,"Exequiel Fernández esquina Madreselvas, Macul",-33.48315,-70.60149,n/a,2400,4410,34.59,80.8,venta,departamento
6302,"San Ignacio de Loyola 4250, San Miguel",-33.49186,-70.65746,n/a,3365,0,63.74,63.74,venta,departamento
8912,"Urmeneta 32, San Bernardo",-33.58579,-70.70439,n/a,1939,3317,43,72.14,venta,departamento
8655,"El Hualle 8039, La Florida",-33.52822,-70.55426,n/a,3447,5703,60.28,103.59,venta,departamento
7205,"Alcalde Pedro Alarcón 834, San Miguel",-33.48728,-70.64489,n/a,2984,4222,48.24,71.72,venta,departamento
8759,"Seminario 677, Ñuñoa",-33.44991,-70.62792,n/a,2740,5100,28.46,54.73,venta,departamento
6314,"Irarrázaval 4994, Ñuñoa",-33.45429,-70.57802,n/a,3343,6141,46.8,106.1,venta,departamento
8650,"Carmen 90, Santiago",-33.44418,-70.6428,n/a,2585,4305,27.6,49.84,venta,departamento
8446,"Cotapos 1369, Independencia",-33.4083,-70.65972,n/a,2509,3960,37.78,77.44,venta,departamento
8988,"Exequiel Fernández 1928, Ñuñoa",-33.47282,-70.60116,n/a,3430,5490,55.34,91.28,venta,departamento
7891,"Carvajal 358, La Cisterna",-33.51579,-70.66229,n/a,2108,3537,33.62,70.11,venta,departamento
8299,"Novena Avenida 1316, San Miguel",-33.51148,-70.6617,n/a,2243,3117,31.97,59.09,venta,departamento
8280,"Blanco Encalada 1538, Renca",-33.40197,-70.70497,n/a,1976,2901,49,72.9,venta,departamento
8822,"Lo Errázuriz 2441, Cerrillos",-33.50344,-70.70538,n/a,2488,2800,57.99,68.3,venta,departamento
8487,"Libertad 30, Maipú",-33.50561,-70.75807,n/a,2790,4190,44,75.9,venta,departamento
7287,"Constantino 54, Estación Central",-33.45175,-70.69671,n/a,2058,0,34.04,65.85,venta,departamento
7985,"Claudio Arrau 8750, Pudahuel",-33.45066,-70.75948,n/a,2742,3416,55.42,72.39,venta,departamento
6573,"San Cristóbal 514, Recoleta",-33.42069,-70.64299,n/a,3098,4783,49.75,95.37,venta,departamento
6127,"Bombero Hugo Olguín 7331, Cerrillos",-33.50767,-70.70779,n/a,3102,0,92,97,venta,departamento
8225,"Av. Pedro Fontova 7330, Huechuraba",-33.3546,-70.67099,n/a,2800,5500,58.15,107.28,venta,departamento
7691,"Los Alerces 2363, Ñuñoa",-33.47142,-70.60862,n/a,3700,4990,68.67,84.47,venta,departamento
8991,"Tierra Fértil 1835, Maipú",-33.47235,-70.75671,n/a,2722,3090,62.24,68.39,venta,departamento
8456,"Tercera avenida 1177, San Miguel",-33.5059,-70.6573,n/a,2265,3373,38.66,73.27,venta,departamento
8851,"Domeyko 2010, Santiago",-33.4561,-70.6628,n/a,2520,8510,24.82,104.63,venta,departamento
8349,"Av. Fernández Albano 424, La Cisterna",-33.52421,-70.6557,n/a,1774,2684,36.15,65.09,venta,departamento
7423,"Alcalde Pedro Alarcón 900, San Miguel",-33.48676,-70.647,n/a,2200,3695,36.95,85.37,venta,departamento
6661,"Tierra Fértil 1745, Maipú",-33.47199,-70.75697,n/a,2693,2953,65.94,65.94,venta,departamento
8175,"Santa Clara 360, La Cisterna",-33.52027,-70.65561,n/a,1569,3316,23.29,51.91,venta,departamento
