Codigo,Direccion,Comuna,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda,Tipo Proyecto
4703805,"vitacura / kennedy, Vitacura",Vitacura,0,0,1D/1B,36,0,123,171, Arriendo, Departamento,Propiedad usada
4983807,"La Montura 37512, Puente Alto",Puente Alto,0,0,3D/2B,23,0,104,250, Arriendo, Casa,Propiedad usada
4994381,"Miguel Claro 2555, Ñuñoa - Departamento 605, Ñuñoa",Ñuñoa,0,0,2D/2B,22,0,77,81, Arriendo, Departamento,Propiedad usada
4837707,"VICUÑA MACKENNA - SANTA ISABEL, Santiago",Santiago,0,0,2D/2B,3176,0,72,72, Venta, Departamento,Propiedad usada
4745977,"El arroyo 100, MaipÃš",MaipÃš,0,0,4D/2B,3441,0,135,112, Venta, Casa,Propiedad usada
4805440,"Metro Villa Frei, Ñuñoa",Ñuñoa,0,0,1D/1B,3200,0,38,44, Venta, Departamento,Propiedad usada
4870847,"Diagonal Paraguay 361, Santiago",Santiago,0,0,3D/1B,13,0,70,76, Arriendo, Departamento,Propiedad usada
5041146,"CASA CONDOMINIO CHICUREO NORTE 3D, Colina",Colina,0,0,3D/3B,28,0,168,400, Arriendo, Casa,Propiedad usada
4838856,"Los Militares/ Flor de azucena, Las Condes",Las Condes,0,0,2D/2B,30,0,70,75, Arriendo, Departamento,Propiedad usada
4741775,"jorge alessandri, San Bernardo",San Bernardo,0,0,3D/3B,3938,0,90,127, Venta, Casa,Propiedad usada
5023508,"Av. Qulin-Vespucio, Macul",Macul,0,0,3D/2B,3800,0,67,71, Venta, Departamento,Propiedad usada
4846913,"Ideal para Inversionistas!!! Cercano a Gran Avenida y al Metro Cuidad del Niño., San Miguel",San Miguel,0,0,3D/2B,3059,0,68,70, Venta, Departamento,Propiedad usada
4843423,"Los Militares, Las Condes",Las Condes,0,0,2D/2B,30,0,50,60, Arriendo, Departamento amoblado,Propiedad usada
4858143,"El Rodeo / Camino Central, Lo Barnechea",Lo Barnechea,0,0,1D/1B,17,0,44,44, Arriendo, Departamento,Propiedad usada
4933426,"alejandro serani norte 9394 - Departamento 1101, Vitacura",Vitacura,0,0,4D/3B,35,0,130,145, Arriendo, Departamento,Propiedad usada
4852876,"Proyecto Best Site - 2D2B - Santiago Cen, Santiago",Santiago,0,0,2D/2B,3950,0,0,0, Venta, Departamento,Propiedad usada
4950614,"DEPARTAMENTO EN PADRE ALONSO OVALLE, Santiago",Santiago,0,0,2D/2B,3450,0,54,56, Venta, Departamento,Propiedad usada
4691412,"Metro Alcántara, Las Condes",Las Condes,0,0,3D/3B,42,0,90,112, Arriendo, Departamento amoblado,Propiedad usada
4972268,"Cercano a Plaza Ñuñoa, Ñuñoa",Ñuñoa,0,0,2D/2B,18,0,52,60, Arriendo, Departamento,Propiedad usada
4693130,"Clínica Alemana, Vitacura",Vitacura,0,0,3D/2B,35,0,109,119, Arriendo, Departamento amoblado,Propiedad usada
5039960,"Blest gana 5710, La Reina",La Reina,0,0,1D/1B,16,0,40,43, Arriendo, Departamento,Propiedad usada
4728259,"METRO SANTA LUCIA, Santiago",Santiago,0,0,1D/1B,2500,0,30,35, Venta, Departamento,Propiedad usada
4880657,"Los Militares, Las Condes",Las Condes,0,0,2D/2B,30,0,90,90, Arriendo, Departamento,Propiedad usada
4696216,"Arturo Prat 772, Lampa",Lampa,0,0,3D/2B,3446,0,116,145, Venta, Casa,Propiedad usada
4859280,"BELLAVISTA / LORETO CON ESTACIONAMIENTO, Recoleta",Recoleta,0,0,3D/2B,23,0,71,74, Arriendo, Departamento,Propiedad usada
4990203,"Beauchef/Blanco Encalada, Santiago",Santiago,0,0,3D/2B,18,0,73,79, Arriendo, Departamento,Propiedad usada
5007098,"Metro Príncipe de Gales, Ñuñoa",Ñuñoa,0,0,2D/2B,22,0,75,90, Arriendo, Departamento,Propiedad usada
