Codigo,Direccion,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
7050,"Conde del Maule 4571, Estación Central",n/a,2585.0,3202.0,51.25,66.42,venta,departamento
6342,"Conde Del Maule 4325, Estación Central",n/a,1910.0,3173.0,33.07,33.07,venta,departamento
6352,"Cuarta Avenida 1447, San Miguel",n/a,2774.0,3645.0,50.18,65.35,venta,departamento
6780,"Guardia Marina Riquelme 4880, San Miguel",n/a,2744.0,3288.0,52.28,64.76,venta,departamento
6858,"San Gumercindo 77, Estación Central",n/a,1959.0,2645.0,33.43,56.5,venta,departamento
6450,"Av. Ecuador 4678, Estación Central",n/a,2506.0,3633.0,48.89,73.08,venta,departamento
8004,"García Valenzuela 44, Ñuñoa",n/a,2450.0,0.0,27.0,62.0,venta,departamento
7715,"Av. Ossa 0180, La Cisterna",n/a,2249.0,3820.0,35.7,64.2,venta,departamento
8713,"Rodrigo de Araya 1410, Ñuñoa",n/a,2290.0,4334.0,38.84,71.91,venta,departamento
8528,"Calle Rinconada El Salto 291, Huechuraba",n/a,2697.0,7504.0,44.15,105.14,venta,departamento
7289,"Segunda Avenida 1230, San Miguel",n/a,2319.0,3625.0,40.9,75.08,venta,departamento
7322,"Av. Presidente Balmaceda 2.610, Santiago",n/a,1480.0,3920.0,24.82,84.45,venta,departamento
7788,"Esmeralda 6454, La Cisterna",n/a,1762.0,2811.0,26.0,47.0,venta,departamento
8846,"San Pablo 4629, Quinta Normal",n/a,2129.0,3084.0,36.07,57.38,venta,departamento
8808,"Santa Clara 349, La Cisterna",n/a,1993.0,3359.0,35.26,64.85,venta,departamento
8984,"Libertad 51, Santiago",n/a,2298.0,4370.0,26.53,67.16,venta,departamento
6221,"Av. Vicuña Mackenna 6800, La Florida",n/a,2617.0,3308.0,45.37,74.58,venta,departamento
8490,"Argomedo 344, Santiago",n/a,2151.0,4401.0,29.42,66.45,venta,departamento
8192,"Manuel Rodríguez 39, Santiago",n/a,2850.0,4139.0,34.58,68.98,venta,departamento
7051,"Morandé 857, Santiago",n/a,2763.0,3259.0,37.1,53.02,venta,departamento
8453,"Av. Brasil 601, Santiago",n/a,2784.0,2847.0,36.88,37.81,venta,departamento
7366,"Gamero 1553, Independencia",n/a,2799.0,0.0,47.75,47.75,venta,departamento
8244,"Av. Américo Vespucio 4455, Macul",n/a,2190.0,3439.0,39.48,74.34,venta,departamento
8733,"Vicuña Mackenna 1194, Ñuñoa",n/a,2260.0,4404.0,37.89,71.56,venta,departamento
8085,"Sexta Avenida 1340, San Miguel",n/a,2438.0,3376.0,36.21,65.78,venta,departamento
7219,"Carmen 120, Santiago",n/a,2274.0,4031.0,27.16,61.62,venta,departamento
